id,opening_hours
node/7039559892,Mo-Sa 12:00-23:29
node/10245706076,
way/157322970,Mo-Sa 12:00-23:00; Su 12:00-22:30
way/260681370,
node/295979629,
node/858431027,
node/12529152052,
way/107796329,
way/369188797,Mo-Sa 10:00-23:30; Su 11:00-23:00
way/163644475,
0d5652fd-a487-4213-991e-50f5fb86c290,
54986812-cc27-4db2-ab19-06ca9a65172f,
node/48928595,
way/270424950,
way/236653740,
way/107275360,
way/413193939,
way/778627033,Mo-Fr 11:00-23:00; Sa 11:00-23:30; Su 12:00-22:30
way/89970679,
way/200356056,
way/204000375,Mo-We 11:00-23:00; Th-Fr 11:00-00:00
way/310350976,
way/257334015,Mo-Fr 12:00-23:30; Sa-Su 11:00-23:00
node/10251784717,"Mo-Th 08:00-23:00; Fr,Sa 08:00-23:30; Su 08:00-19:30"
node/277909036,"Su-Tu 16:00-24:00, We 16:00-01:00, Th 16:00-01:30, Fr,Sa 16:00-03:00"
way/157322996,Mo 16:00-23:00; Tu-We 12:00-23:00; Th-Fr 12:00-00:00; Sa 12:00-01:00
way/161720577,"Mo-Sa 12:00-24:00, Su 12:00-21:00"
way/195649317,Su-We 16:00-00:00; Th 16:00-02:30; Fr-Sa 16:00-03:00
way/157323017,
node/3010570949,
way/276100290,09:00-23:00
node/6119354792,Mo-Sa 12:00-23:30; Su 12:00-22:00
way/448779543,
way/303225529,
way/205408905,
node/296620391,
way/373272377,"Mo,Su 11:00-23:00; Tu-Sa 11:00-24:00"
way/395695853,"Mo-Fr 15:00-23:00; Sa,Su 11:00-23:00"
node/5238249940,Mo-Th 11:00-23:00; Fr 11:00-00:0; Sa 12:00-00:00; Su 12:00-21:30
node/371601279,"Mo,Tu 16:00-23:00, We,Th 12:00-24:00, Fr,Sa 12:00-01:00, Su 12:00-23:00"
way/163644465,
way/157323000,"Mo-We,Su 12:00-24:00; Th-Sa 12:00-01:00"
way/142390004,
way/264131977,
node/278312956,
node/7039548576,Mo-Fr 11:00-23:00
way/314760744,Mo-Sa 11:00-23:00; Su 11:00-22:00
bdf58937-ad8f-4427-bed5-659edaa38a11,
node/13717302373,
way/696129533,
node/8355222754,We-Th 16:00-22:00; Fr 16:00-24:00; Sa 12:00-24:00; Su 12:00-18:00
node/472446463,
way/142241624,12:00-23:00
0c35de19-2d54-4c2f-9942-93f38ced4a49,
way/444200909,Mo-Th 12:00-23:00; Fr-Sa 12:00-01:00; Su 12:00-23:00
way/1385726376,Mo-Th off; Fr 16:00-22:00; Sa 13:00-22:00; Su off; PH off
way/444593912,
way/444642776,Mo-We 12:00-23:00; Th 12:00-00:00; Fr-Sa 12:00-01:00; Su 12:00-22:00
node/12198799907,Mo-We 16:00-23:00; Th 12:00-23:00; Fr 12:00-00:30; Sa 12:00-01:00; Su 12:00-23:00
6154170c-9ae2-430e-a146-d965ef6dfcd6,
way/1047662587,
af647587-2acc-4755-baf4-c06d9bb8b73a,
way/767855492,
way/935593053,
way/228435778,
way/230406331,
9ba74653-4cf8-475d-8ab8-ac4bd90998c8,
way/507095501,
way/296756574,
way/1351858504,
way/99878205,
way/163505839,
way/1337211309,
way/163502247,
way/511586538,
way/310789678,
way/28836414,
way/930391987,
way/511169062,
way/1069433877,
way/965232197,
way/550447429,
way/965224998,Mo-Th 11:30-23:30; Fr-Sa 11:00-01:00; Su 11:00-24:00
way/1116641607,
node/356973074,
way/1027522305,
way/1120585512,
way/436113666,
node/2018688106,Mo-Sa 12:00-23:00; Su 12:00-22:00
way/191304258,
node/11603173108,
way/413367881,
way/192328204,"Mo-Th 12:00-23:00; Fr,Sa 12:00-24:00; Su 12:00-22:00"
way/187272264,
way/190897365,
node/6019687353,"Mo-We 10:00-23:00; Th 10:00-23:30; Fr,Sa 10:00-24:00; Su 10:00-22:30"
node/3576622823,
way/190626268,Mo-We 17:00-23:00; Th 17:00-24:00; Fr 15:00-24:00; Sa 12:00-24:00; Su 12:00-22:30
way/190897364,
way/353735190,Mo-Su 12:00-23:00
way/191304272,
way/193308924,Mo-We 11:00-23:00; Th-Sa 11:00-24:00; Su 11:00-22:30
way/195200692,Mo-Sa 12:00-23:00; Su 12:00-22:30
way/372953882,Mo-Su 12:00-22:30
