calc_postcode_district,calc_postcode_area,osm_type,osm_id,id,lat,lon,name,operator,photo_url1,photo_url2,photo_url3,photo_url4,photo_url5,founded,description,has_pub_garden,has_live_music,has_food_available,has_dog_friendly,has_pool_darts,has_accommodation,addr_housenumber,addr_street,phone,website,wikidata,opening_hours,opening_hours_a,opening_hours_b,opening_hours_c,opening_hours_d,opening_hours_e,opening_hours_f,tier_fetch_tier,tier_a_success,tier_a_http_status,tier_a_final_url,tier_a_error,tier_a_text_chars,tier_a_text_relpath,conf_description,conf_phone,conf_founded,conf_operator,conf_has_pub_garden,conf_has_live_music,conf_has_food_available,conf_has_dog_friendly,conf_has_pool_darts,conf_has_accommodation,enc_website_text_skip
E1,E,way,236653740,way/236653740,51.5189522,-0.0712189,Pride of Spitalfields,,,,,,,,"The Pride of Spitalfields is a traditional British pub located just off Brick Lane, known for its authentic East End charm and community atmosphere. It offers a selection of cask ales and craft beers, including an affordable pint of Guinness. The pub features cozy seating, a roaring fire, and hosts piano nights, fostering a sense of connection among patrons. Regulars appreciate its unpretentious vibe and heritage, making it a beloved spot for locals and visitors alike.",TRUE,TRUE,,,,,3,Heneage Street,,https://theprideofspitalfieldslondon.shop/,Q15059604,,,,,,,,A,1,200,https://theprideofspitalfieldslondon.shop/,,3012,data/tier_a_extractions/way_236653740_29279af438d84084.txt,1.0000,0.0000,0.0000,0.0000,0.7000,0.7000,0.5000,0.5000,0.5000,0.5000,
E11,E,supabase,,9ba74653-4cf8-475d-8ab8-ac4bd90998c8,51.5767,0.011682,Sir Alfred Hitchcock Hotel,Independent,,,,,,,"The pub offers a variety of dining options including Sunday roasts, steak nights, and a special Christmas menu. The atmosphere is described as cozy, ideal for gatherings with family and friends. Reservations are recommended for the Christmas Day feast.",,,TRUE,,,,,,(020) 8530 3724,https://www.thehitchcockhotel.com/,,,,,,,,,A,1,200,https://www.thehitchcockhotel.com/,,1298,data/tier_a_extractions/9ba74653-4cf8-475d-8ab8-ac4bd90998c8_13a9d02aff350961.txt,0.9000,,0.0000,,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,
E11,E,way,1351858504,way/1351858504,51.5765434,0.0278822,The Bull,,,,,,,,"The Bull is a friendly local pub in Wanstead, just 100 yards from the Tube station. It features a beer garden open until 11pm, serves fresh food five days a week, and welcomes families and dogs. The pub offers a kids' menu and dog-friendly amenities.",TRUE,,TRUE,TRUE,,,129,High Street,,https://www.thebullwanstead.com/,,,,,,,,,A,1,200,https://www.thebullwanstead.com/,,1688,data/tier_a_extractions/way_1351858504_e6db1065f3213832.txt,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,1.0000,0.0000,0.0000,
E11,E,way,930391987,way/930391987,51.5579215,0.0173255,The Rookwood Village,Jim,,,,,,,"The Rookwood Village is a pub located in Leytonstone, offering a wide range of drinks including craft beers and cocktails, alongside a fresh menu featuring pizzas, burgers, and salads. The pub has large screen TVs for sports and a private function room. It also provides interactive darts and ping pong for entertainment.",,,TRUE,,TRUE,,314,Cann Hall Road,,https://therookwoodvillage.com/,,,,,,,,,A,1,200,https://therookwoodvillage.com/,,3087,data/tier_a_extractions/way_930391987_dbd32e9f6323d895.txt,1.0000,0.0000,0.0000,0.7000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000,
E13,E,way,1027522305,way/1027522305,51.5302424,0.0229144,The Black Lion,,,,,,,,"The Black Lion Pub is located near Plaistow tube station and offers a selection of real ales, premium beers, and homemade pub food. It features a large beer garden, a function room for hire, and is known for its friendly atmosphere and sports on TV. The pub is listed in CAMRA's Good Beer Guide and has free parking for patrons.",TRUE,,TRUE,,,,59-61,High Street,02084722351,https://blacklionplaistow.co.uk/,,,,,,,,,A,1,200,https://blacklionplaistow.co.uk/,,2058,data/tier_a_extractions/way_1027522305_7ecf75075eb19734.txt,1.0000,1.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,
E16,E,node,529875654,node/529875654,51.5088147,0.0255735,Fox @ Excel,,,,,,,,"The Fox is a Warehouse Bar & Restaurant near ExCeL London, offering a vibrant atmosphere, versatile spaces, and a wide selection of food and drinks suitable for any occasion.",,,TRUE,,,,2,Western Gateway,,https://www.foxexcel.co.uk,,,,,,,,,A,1,200,https://www.foxexcel.co.uk,,657,data/tier_a_extractions/node_529875654_0da3b95d25cf1f4e.txt,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,
E17,E,node,7056928285,node/7056928285,51.5932478,-0.0414688,Exale Taproom,,,,,,,,,,,,,,,,Blackhorse Lane,,https://www.exale.uk/,,Th 16:00-23:00, Fr 16:00-02:00, Sa 12:00-02:00, Su 12:00-20:00,,,,A,0,200,https://www.exale.uk/,short_extract,0,,,,,,,,,,,,no_tier_a_text_relpath
E2,E,way,945438537,way/945438537,51.525347,-0.0710211,The Well and Bucket,Urban Pubs & Bars,,,,,,,"The Well & Bucket is a pub located in Bethnal Green, London, known for its great drinks and tasty food. It is a popular spot for football and offers a lively atmosphere. The pub also features an award-winning theatre above it, offering a variety of performances.",,TRUE,TRUE,,,,143,Bethnal Green Road,+44 20 3664 6454,https://www.urbanpubsandbars.com/venues/well-bucket,,,,,,,,,A,1,200,https://www.urbanpubsandbars.com/venues/well-bucket,,1945,data/tier_a_extractions/way_945438537_1b06594296a1dd62.txt,0.9000,,0.0000,,0.0000,0.7000,0.9000,0.0000,0.0000,0.0000,
E3,E,way,429089060,way/429089060,51.5321275,-0.0281061,Green Goose,"Young & Co.’s Brewery, P.L.C",,,,,,,"The Green Goose is an East End pub with a beer garden, offering seasonal British food and drinks. It screens World Cup 2026 fixtures and hosts a weekly pub quiz with jackpots. The pub emphasizes quality ingredients in its menu, featuring traditional dishes and vegan options.",TRUE,,TRUE,,,,112,Anglo Road,,https://www.greengooselondon.com/,,,,,,,,,A,1,200,https://www.greengooselondon.com/,,1923,data/tier_a_extractions/way_429089060_461d7e1276f26e04.txt,1.0000,0.0000,0.0000,1.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,
E4,E,way,681581511,way/681581511,51.6073654,0.0006745,The County Arms,Greene King,,,,,,,,,,,,,,420,Hale End Road,,https://www.greeneking.co.uk/pubs/greater-london/county-arms,,,,,,,,,A,1,403,https://www.greeneking.co.uk/pubs/greater-london/county-arms,HTTPError:403,231,data/tier_a_extractions/way_681581511_6e70eda272bed655.txt,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
