fhrs_id,business_name,address_line1,address_line2,address_line3,address_line4,postcode,postcode_area,address_single_line,local_authority_name,local_authority_code,business_type,business_type_id,rating_value,rating_key,rating_date,scheme_type,longitude,latitude,new_rating_pending
357467,United Service Club,33 London Road,,Bromley,,BR1 1DG,BR,"33 London Road, Bromley, BR1 1DG",Bromley,505,Pub/bar/nightclub,7843,4,fhrs_4_en-gb,2024-11-08T00:00:00,FHRS,0.0100989,51.4095595,False
358088,Richmal Crompton - J D Wetherspoon,23 Westmoreland Place,,Bromley,,BR1 1DS,BR,"23 Westmoreland Place, Bromley, BR1 1DS",Bromley,505,Pub/bar/nightclub,7843,5,fhrs_5_en-gb,2026-03-17T00:00:00,FHRS,0.0162969,51.3997679,False
357434,Churchill Theatre,Churchill Theatre High Street,,Bromley,,BR1 1HA,BR,"Churchill Theatre High Street, Bromley, BR1 1HA",Bromley,505,Pub/bar/nightclub,7843,4,fhrs_4_en-gb,2023-12-13T00:00:00,FHRS,,,False
1403640,The Artful Duke,198 High Street,,Bromley,,BR1 1HE,BR,"198 High Street, Bromley, BR1 1HE",Bromley,505,Pub/bar/nightclub,7843,5,fhrs_5_en-gb,2025-07-02T00:00:00,FHRS,0.0138543,51.4056911,False
357437,The Partridge,The Partridge 194 High Street,,Bromley,,BR1 1HE,BR,"The Partridge 194 High Street, Bromley, BR1 1HE",Bromley,505,Pub/bar/nightclub,7843,5,fhrs_5_en-gb,2026-01-22T00:00:00,FHRS,0.0138352,51.4055835,False
1843606,The Royal Bell,175 High Street,,Bromley,,BR1 1NN,BR,"175 High Street, Bromley, BR1 1NN",Bromley,505,Pub/bar/nightclub,7843,5,fhrs_5_en-gb,2026-02-26T00:00:00,FHRS,0.0143795,51.4058619,False
358697,The Greyhound,205 High Street,,Bromley,,BR1 1NY,BR,"205 High Street, Bromley, BR1 1NY",Bromley,505,Pub/bar/nightclub,7843,5,fhrs_5_en-gb,2026-02-06T00:00:00,FHRS,0.0134713,51.4064621,False
1011690,Star And Garter,Star And Garter 227 High Street,,Bromley,,BR1 1NZ,BR,"Star And Garter 227 High Street, Bromley, BR1 1NZ",Bromley,505,Pub/bar/nightclub,7843,3,fhrs_3_en-gb,2024-12-17T00:00:00,FHRS,0.0125795,51.4067831,False
357446,Metropolis,256 High Street,,Bromley,,BR1 1PG,BR,"256 High Street, Bromley, BR1 1PG",Bromley,505,Pub/bar/nightclub,7843,5,fhrs_5_en-gb,2024-08-16T00:00:00,FHRS,0.0119106,51.4069385,False
1025899,Swan And Mitre,Swan And Mitre 262 High Street,,Bromley,,BR1 1PG,BR,"Swan And Mitre 262 High Street, Bromley, BR1 1PG",Bromley,505,Pub/bar/nightclub,7843,5,fhrs_5_en-gb,2026-03-04T00:00:00,FHRS,0.0166076,51.4038902,False
358741,Barrel & Horn,Barrel & Horn 204 High Street,,Bromley,,BR1 1PW,BR,"Barrel & Horn 204 High Street, Bromley, BR1 1PW",Bromley,505,Pub/bar/nightclub,7843,5,fhrs_5_en-gb,2026-03-17T00:00:00,FHRS,0.0135757,51.4058937,False
357384,O'Neills,O'neill's 27 East Street,,Bromley,,BR1 1QE,BR,"O'neill's 27 East Street, Bromley, BR1 1QE",Bromley,505,Pub/bar/nightclub,7843,5,fhrs_5_en-gb,2026-01-23T00:00:00,FHRS,0.015811,51.4070244,False
754454,Railway Tavern,The Railway Hotel 45 East Street,,Bromley,,BR1 1QQ,BR,"The Railway Hotel 45 East Street, Bromley, BR1 1QQ",Bromley,505,Pub/bar/nightclub,7843,5,fhrs_5_en-gb,2025-01-23T00:00:00,FHRS,0.0163738,51.4077251,False
1767311,Cocktail Akademia,29A Widmore Road,,Bromley,,BR1 1RW,BR,"29A Widmore Road, Bromley, BR1 1RW",Bromley,505,Pub/bar/nightclub,7843,5,fhrs_5_en-gb,2025-02-26T00:00:00,FHRS,0.0170876,51.406301,False
357333,Bickley Park Cricket Club,Bickley Park Cricket Club Bickley Park Road,Bickley,Bromley,,BR1 2AS,BR,"Bickley Park Cricket Club Bickley Park Road, Bickley, Bromley, BR1 2AS",Bromley,505,Pub/bar/nightclub,7843,Exempt,fhrs_exempt_en-gb,1901-01-01T00:00:00,FHRS,,,False
1796762,The Lord Holmesdale,Lord Homesdale 184 Homesdale Road,,Bromley,,BR1 2QZ,BR,"Lord Homesdale 184 Homesdale Road, Bromley, BR1 2QZ",Bromley,505,Pub/bar/nightclub,7843,Exempt,fhrs_exempt_en-gb,1901-01-01T00:00:00,FHRS,0.0338543,51.3998514,False
1534161,The Oak,The Oak 206 Widmore Road,,Bromley,,BR1 2RH,BR,"The Oak 206 Widmore Road, Bromley, BR1 2RH",Bromley,505,Pub/bar/nightclub,7843,2,fhrs_2_en-gb,2026-01-20T00:00:00,FHRS,0.0342583,51.4057166,False
357506,Bromley Sports Club / Bromley Cricket Club,Bromley Cricket Club Plaistow Lane,,Bromley,,BR1 3AS,BR,"Bromley Cricket Club Plaistow Lane, Bromley, BR1 3AS",Bromley,505,Pub/bar/nightclub,7843,5,fhrs_5_en-gb,2025-02-06T00:00:00,FHRS,,,False
357501,Crown And Anchor,The Crown And Anchor 19 Park Road,,Bromley,,BR1 3HJ,BR,"The Crown And Anchor 19 Park Road, Bromley, BR1 3HJ",Bromley,505,Pub/bar/nightclub,7843,5,fhrs_5_en-gb,2024-07-04T00:00:00,FHRS,0.0210362,51.4078068,False
357403,Freelands Tavern,Freelands Tavern 31 Freelands Road,,Bromley,,BR1 3HZ,BR,"Freelands Tavern 31 Freelands Road, Bromley, BR1 3HZ",Bromley,505,Pub/bar/nightclub,7843,5,fhrs_5_en-gb,2023-11-23T00:00:00,FHRS,0.0244521,51.4102658,False
357504,Bromley Bowling Club,77A Plaistow Lane,,Bromley,,BR1 3JF,BR,"77A Plaistow Lane, Bromley, BR1 3JF",Bromley,505,Pub/bar/nightclub,7843,5,fhrs_5_en-gb,2024-08-14T00:00:00,FHRS,0.0256546,51.4124213,False
