normalized_address,occurrence_count,fhrs_ids,pub_names
100 OAKLEIGH ROAD NORTH LONDON N20 9EZ,2,757028|757027,Oakleigh Lawn Tennis & Squash Club|Oakleigh Park School Of Swimming
13-15 SELSDON ROAD SOUTH CROYDON CR2 6PW,2,1553319|1110622,Smash Burger Box (At Whelans)|Whelans
14-16 STATION LANE HORNCHURCH RM12 6NJ,2,372559|1924319,The Sutton Arms|The Sutton Arms
154 - 166 CLARENCE STREET KINGSTON UPON THAMES KT1 1QP,2,1849034|1849035,Bonnie Rogues Pub - Kingston|Circuit - Kingston
16 CLIFTON ROAD KINGSTON UPON THAMES KT2 6PW,2,1896006|1385845,Norbiton|The Norbiton
16 HARPER ROAD LONDON SE1 6AD,2,1596146|1761577,Colab tavern|Rpg taverns
160 WARWICK ROAD LONDON W14 8PS,2,333973|334405,Chatpata|Warwick Arms
19 GREVILLE STREET LONDON EC1N 8SQ,2,424677|424567,Scottish Malt Whisky Society|The Bleeding Heart Tavern
20-21 LEICESTER SQUARE LONDON WC2H 7JX,2,1876958|1924103,"Market Place Leicester Square|Rocket Room, Leicester Square"
204 LONDON ROAD KINGSTON UPON THAMES KT2 6QP,2,1533729|1845108,Black Horse|Hello Meals Limited
25 WROTHAM ROAD GRAVESEND KENT DA11 0PA,2,83940|973571,The Gravesend Masonic Hall|The Three Pillars
40 ESSEX ROAD DARTFORD KENT DA1 2AU,2,449863|707255,Dartford Working Men's Club & Institute|Dartford Working Mens Club
67 RUSSELL LANE LONDON N20 0BB,2,1418020|1735151,The Cavalier|The Kitch At The Cav
8 HANGER GREEN EALING W5 3EL,2,1905140|1082643,8 Lebanese Grill|Bar 8
97 HAVERSTOCK HILL LONDON NW3 4RL,2,1676102|1680199,CATERING SIR RICHARD STEELE|SIR RICHARD STEELE PUB
ABBA ARENA 1 PUDDING MILL LANE STRATFORD LONDON E15 2RU,4,1833700|1758975|1758974|1758976,Chalet - Outdoor Bar|Dance Pods Bars|Main Concourse Bars|Tunnel Bars
AMBASSADORS THEATRE WEST STREET LONDON WC2H 9ND,2,1670113|424838,Ambassadors Theatre|New Ambassadors Theatre
ANTWERP ARMS 168 CHURCH ROAD TOTTENHAM LONDON N17 8AS,2,1263503|1672698,Antwerp Arms Association|The Antwerp Arms
ASHFORD YOUTH CENTRE KENILWORTH ROAD ASHFORD TW15 3EL,2,1543545|1876108,Phoenix Project Spelthorne CIC|Sri Sathya Sai Organisation UK CIO
BARLEY MOW 67 MOLESEY ROAD HERSHAM WALTON-ON-THAMES KT12 4RS,2,1779294|1778460,GBLimited Limited @ The Barley Mow|The Barley Mow
BOW BELLS PUBLIC HOUSE 116 BOW ROAD LONDON E3 3AA,2,1811358|39882,Dead Pedro's|The Bow Bells
BROCKENHURST SHEEPCOTE LANE ORPINGTON BR5 4ET,2,1534151|357679,Brockenhurst Recreational & Social Club|Naturist Foundation - Tea Pot Cafe
CARPENTERS ARMS PUBLIC HOUSE 73 CHESHIRE STREET LONDON E2 6EG,2,113385|1683574,Carpenters Arms|GOPPA @ The Carpenters Arms
COCKFOSTERS SPORTS GROUND CHALK LANE BARNET EN4 9JG,2,316218|457794,Cockfosters Bowling Club|Cockfosters Football Club
DORKING ROAD WALTON ON THE HILL SURREY KT20 5SL,2,71772|71773,Blue Anchor|The Dukes Head
FOREST ROAD HAINAULT IG6 3HJ,2,443127|443445,Ilford Wanderers Rugby Football|Powerleague
GEORGE AND DRAGON 183 HIGH STREET ACTON W3 9DJ,2,1033429|1208931,George & Dragon (Bar Only)|Sabai @ George & Dragon
HIGH ROAD CHIPSTEAD SURREY CR5 3SF,2,21164|607554,"Chipstead Football Club|Chipstead, Coulsdon And Walcountians Cricket Club"
OVERTON DRIVE WANSTEAD E11 2LW,3,443220|443129|443130,Linkside Lawn Tennis Club|Wanstead Cricket Club|Wanstead Golf Club
PRINCE ALBERT 30 HAMPTON ROAD TWICKENHAM RICHMOND UPON THAMES TW2 5QB,2,1579067|1662287,Prince Albert|Thai @The Albert
PUBLIC HOUSE 73 ST JAMES'S LANE HORNSEY LONDON N10 3QY,2,559774|422419,Pearce Catering|The Famous Royal Oak / MST Catering
QUEEN ELIZABETH STADIUM DONKEY LANE ENFIELD EN1 3PL,2,316362|954820,Enfield Ignatians RFC|Enfield Town Football Club
ST MARY'S LANE UPMINSTER RM14 3LT,2,373884|1702095,Thatched House|The Jobber’s Rest
STAR INN 158 PLUMSTEAD COMMON ROAD PLUMSTEAD GREENWICH SE18 2UL,2,1610801|1096711,sourdough saloon pizza @thestarse18|Star INN
