name,id,operator
The Junction,node/1112173867,Taylor Walker | Greene King
Blue Posts,way/418075242,Taylor Walker | Greene King
The Victoria,node/295905003,Taylor Walker | Greene King
Spread Eagle,node/452240939,Spirit Pub Company | Greene King
O'Neills,way/54666911,Mitchells & Butlers plc | O'Neill's
Sun and 13 Cantons,way/153698493,"Fuller, Smith & Turner plc | Fuller's"
The Shakespeare's Head,way/272198115,Spirit Pub Company | Greene King
Duke of York,way/249211263,Spirit Pub Company | Greene King
The Goat Tavern,way/290081133,Spirit Pub Company | Greene King
The Fitzrovia,way/188549801,Spirit Pub Company | Greene King
Lamb & Flag,way/107039274,Taylor Walker | Greene King
The Tabard,way/209445869,Spirit Pub Company | Greene King
The Greyhound,way/128292738,Taylor Walker | Greene King
The Prince of Wales,node/7532833476,Taylor Walker | Greene King
