id,name,website,calc_postcode_district,suggested_operator,match_pattern_type,match_pattern_key,current_operator
node/278291760,The Moretown Belle,https://www.bellepubsandrestaurants.co.uk/moretownbelle,E1W,Belle Pubs & Restaurants,domain,bellepubsandrestaurants.co.uk,
node/25597628,The Angelic,https://www.stonegatepubpartners.co.uk/find-a-pub/the-angelic-islington_500780,N1,Stonegate,domain,stonegatepubpartners.co.uk,
node/11901214589,Annie Twomeys,https://www.stonegatepubpartners.co.uk/find-a-pub/annie-twomeys-southgate_033038,N14,Stonegate,domain,stonegatepubpartners.co.uk,
way/477964006,William IV,https://locipubs.com/william/,NW10,Loci Pubs,domain,locipubs.com,
way/523400975,Duke of Hamilton,https://locipubs.com/duke/,NW3,Loci Pubs,domain,locipubs.com,
way/1238928087,The Alliance,https://locipubs.com/alliance/,NW6,Loci Pubs,domain,locipubs.com,
way/366223826,The Clifton,https://locipubs.com/clifton/,NW8,Loci Pubs,domain,locipubs.com,
way/95806698,The Duke of Sussex,https://www.thechaptercollection.co.uk/duke-of-sussex-waterloo,SE1,The Chapter Collection,domain,thechaptercollection.co.uk,
way/147249462,The Orange,https://www.cubitthouse.co.uk/the-orange-boutique-hotel-belgravia/,SW1W,Cubitt House,domain,cubitthouse.co.uk,
way/547171167,The Thomas Cubitt,https://www.cubitthouse.co.uk/the-thomas-cubitt-belgravia/,SW1W,Cubitt House,domain,cubitthouse.co.uk,
way/121526267,The Alfred Tennyson,https://www.cubitthouse.co.uk/the-alfred-tennyson-belgravia/,SW1X,Cubitt House,domain,cubitthouse.co.uk,
way/893965349,The Builder's Arms,https://www.cubitthouse.co.uk/the-builders-arms/,SW3,Cubitt House,domain,cubitthouse.co.uk,
node/1375172419,The Brown Cow,https://butcombe.com/the-brown-cow-pub-fulham/,SW6,Butcombe Pubs,domain,butcombe.com,
way/911213761,The Fulham Arms,https://butcombe.com/the-fulham-arms-london/,SW6,Butcombe Pubs,domain,butcombe.com,
way/428293736,The Duchess Belle,https://www.bellepubsandrestaurants.co.uk/duchessbelle,SW8,Belle Pubs & Restaurants,domain,bellepubsandrestaurants.co.uk,
way/498824930,The Griffin Belle,https://www.bellepubsandrestaurants.co.uk/griffinbelle,SW8,Belle Pubs & Restaurants,domain,bellepubsandrestaurants.co.uk,
way/237795434,The Punch Bowl,https://butcombe.com/the-punchbowl-pub-mayfair/,W1J,Butcombe Pubs,domain,butcombe.com,
node/462025244,Barley Mow,https://www.cubitthouse.co.uk/the-barley-mow-mayfair/,W1K,Cubitt House,domain,cubitthouse.co.uk,
way/249211261,Bonds,https://www.thechaptercollection.co.uk/bonds-mayfair,W1S,The Chapter Collection,domain,thechaptercollection.co.uk,
way/750447445,Fitzrovia Belle,https://www.bellepubsandrestaurants.co.uk/fitzroviabelle,W1T,Belle Pubs & Restaurants,domain,bellepubsandrestaurants.co.uk,
way/134708046,The Coach Makers Arms,https://www.cubitthouse.co.uk/the-coach-makers-arms-marylebone/,W1U,Cubitt House,domain,cubitthouse.co.uk,
way/159039182,The Duchess,https://www.thechaptercollection.co.uk/duchess-marylebone,W1U,The Chapter Collection,domain,thechaptercollection.co.uk,
way/174088740,Blue Anchor,https://www.thechaptercollection.co.uk/blue-anchor-hammersmith,W6,The Chapter Collection,domain,thechaptercollection.co.uk,
way/1228717963,Hammersmith Belle,https://www.bellepubsandrestaurants.co.uk/,W6,Belle Pubs & Restaurants,domain,bellepubsandrestaurants.co.uk,
