calc_postcode,calc_postcode_district,calc_postcode_area,osm_type,osm_id,id,lat,lon,name,operator,addr_housenumber,addr_street,addr_city,phone,website,website_status,website_redirect,wikidata,opening_hours,opening_hours_a,opening_hours_b,opening_hours_c,opening_hours_d,opening_hours_e,opening_hours_f
,E1,E,node,7039559892,node/7039559892,51.5137054,-0.0707311,Black Horse,,40,Leman Street,London,+44 20 7488 1406,,,,,Mo-Sa 12:00-23:29,,,,,,
,E1,E,node,371583850,node/371583850,51.5227715,-0.0780898,Bohemia Bar,,1,Great Eastern Street,London,,,,,,,,,,,,
,E1,E,node,10245706076,node/10245706076,51.520961,-0.0724088,Brick Lane Taproom,,,Brick Lane,London,,https://www.bricklanetaproom.co.uk/,200,,,,,,,,,
,E1,E,way,157322970,way/157322970,51.52165,-0.0756836,Commercial Tavern,,142,Commercial Street,London,+44 20 3137 9563,https://www.urbanpubsandbars.com/venues/commercial-tavern,200,,Q26318314,Mo-Sa 12:00-23:00, Su 12:00-22:30,,,,,
,E1,E,node,622515303,node/622515303,51.520691,-0.07375,Corbet Place,,15,Hanbury Street,London,,,,,,,,,,,,
,E1,E,way,260681370,way/260681370,51.5127038,-0.0669009,Dog & Truck,Stonegate,72,Back Church Lane,London,,,,,,,,,,,,
,E1,E,node,295979629,node/295979629,51.513604,-0.0737842,Duke of Somerset,Stonegate,15,Little Somerset Street,London,,https://www.socialpubandkitchen.co.uk/duke-of-somerset-aldgate-london,200,,,,,,,,,
,E1,E,node,858431027,node/858431027,51.517868,-0.07459,Duke of Wellington,,12-14,Toynbee Street,London,,https://www.duke.london/,200,,,,,,,,,
,E1,E,node,12529152052,node/12529152052,51.511524,-0.0727234,Goodman's Field,Wetherspoon,87-91,Mansell Street,London,,https://www.jdwetherspoon.com/pubs/the-goodmans-field-tower-hamlets/,200,https://www.jdwetherspoon.com/pubs/the-goodmans-field-tower-hamlets/,Q88973874,,,,,,,
,E1,E,way,157322999,way/157322999,51.5227656,-0.078188,Goose Island Brew Pub,,222,Shoreditch High Street,London,,,,,,,,,,,,
,E1,E,way,107796329,way/107796329,51.5180737,-0.0775591,Grapeshots,,2-3,Artillery Passage,London,,,,,,,,,,,,
,E1,E,way,369188797,way/369188797,51.5144103,-0.0579821,Hungerford Arms,,240,Commercial Road,London,,,,,,Mo-Sa 10:00-23:30, Su 11:00-23:00,,,,,
,E1,E,way,163644475,way/163644475,51.5179988,-0.0778223,Kings Stores,,14,Widegate Street,London,,https://www.kingsstores.co.uk/,,,,,,,,,,
,E1,E,supabase,,0d5652fd-a487-4213-991e-50f5fb86c290,51.524,-0.074194,Knave of Clubs,Independent,,,,,https://www.theknaveofclubs.co.uk/,,,,,,,,,,
,E1,E,supabase,,54986812-cc27-4db2-ab19-06ca9a65172f,51.5137,-0.070338,Leman Street Tavern,Independent,,,,(020) 3437 0001,,,,,,,,,,,
,E1,E,node,48928595,node/48928595,51.5190934,-0.0589373,London Hospital Tavern,,176,Whitechapel Road,London,,https://www.londonhospitaltavern.com/,,,,,,,,,,
,E1,E,way,270424950,way/270424950,51.5217148,-0.0723595,Ninety One,,91,Brick Lane,London,,https://91bricklane.pub/,,,,,,,,,,
,E1,E,way,236653740,way/236653740,51.5189522,-0.0712189,Pride of Spitalfields,,3,Heneage Street,London,,https://theprideofspitalfieldslondon.shop/,,,Q15059604,,,,,,,
,E1,E,way,107275360,way/107275360,51.5114788,-0.0705158,Princess Of Prussia,Shepherd Neame,15,Prescot Street,London,,https://www.princessofprussia.co.uk/,,,,,,,,,,
,E1,E,node,371520154,node/371520154,51.5237708,-0.0759056,Shoreditch House,,,Ebor Street,London,,https://www.sohohouse.com/houses/shoreditch-house,,,,,,,,,,
,E1,E,way,413193939,way/413193939,51.5099253,-0.0684047,Sir Sidney Smith,,22,Dock Street,London,,https://www.sirsydneysmith.com,,,,,,,,,,
,E1,E,way,778627033,way/778627033,51.5104559,-0.0701304,The Artful Dodger,,47,Royal Mint Street,London,,,,,Q27084908,Mo-Fr 11:00-23:00, Sa 11:00-23:30, Su 12:00-22:30,,,,
,E1,E,way,89970679,way/89970679,51.5178751,-0.078782,The Astronomer,Fuller's,125-129,Middlesex Street,London,,https://www.theastronomerpub.co.uk/,200,,,,,,,,,
,E1,E,way,200356056,way/200356056,51.5227673,-0.0400483,The Bancroft Arms,,410,Mile End Road,London,,,,,,,,,,,,
,E1,E,way,204000375,way/204000375,51.5158372,-0.0756073,The Bell,,50,Middlesex Street,London,+44 20 7247 3459,https://www.thebellpub.co.uk/,200,,,Mo-We 11:00-23:00, Th-Fr 11:00-00:00,,,,,
,E1,E,way,310350976,way/310350976,51.5200501,-0.0569197,The Blind Beggar,,337-341,Whitechapel Road,London,,,,,Q7718589,,,,,,,
,E1,E,way,257334015,way/257334015,51.511393,-0.0684607,The Brown Bear,,139,Leman Street,London,+44 20 7481 3792,,,,Q26318258,,,,,,,
,E1,E,node,10251784717,node/10251784717,51.5172501,-0.0702726,The Buxton,,42,Osborn Street,London,,https://www.thebuxton.co.uk/,,,,"Mo-Th 08:00-23:00; Fr,Sa 08:00-23:30; Su 08:00-19:30",,,,,,
,E1,E,node,277909036,node/277909036,51.5148862,-0.0687963,The Castle,,44,Commercial Road,London,,http://www.thecastlelondon.com/,200,,,"Su-Tu 16:00-24:00, We 16:00-01:00, Th 16:00-01:30, Fr,Sa 16:00-03:00",,,,,,
,E1,E,way,157322996,way/157322996,51.5225031,-0.0782488,The Crown and Shuttle,,226,Shoreditch High Street,London,442073752905,https://www.crownandshuttle.com/,200,,,Mo 16:00-23:00, Tu-We 12:00-23:00, Th-Fr 12:00-00:00, Sa 12:00-01:00,,,
,E1,E,way,161720577,way/161720577,51.5168862,-0.0729084,The Culpeper,,40,Commercial Street,London,+44 20 7247 5371,https://www.theculpeper.com/,200,,,"Mo-Th 11:00-24:00, Fr,Sa 11:00-02:00, Su 11:00-23:00",,,,,,
,E1,E,way,257338682,way/257338682,51.5141165,-0.0706028,The Dispensary,,19a,Leman Street,London,,https://www.closeupchris.co.uk/london-magician/,200,,Q26318793,,,,,,,
,E1,E,way,195649317,way/195649317,51.514343,-0.0530176,The George Tavern,,373,Commercial Road,London,+44 20 7790 7335,https://thegeorgetavern.london/,200,,Q5545090,Su-We 16:00-00:00, Th 16:00-02:30, Fr-Sa 16:00-03:00,,,,
,E1,E,way,157323017,way/157323017,51.5201489,-0.0742242,The Golden Heart,,110,Commercial Street,London,,,,,Q21008660,,,,,,,
,E1,E,node,3010570949,node/3010570949,51.5173312,-0.061108,The Good Samaritan,,87,Turner Street,London,,,,,,,,,,,,
,E1,E,node,4238029494,node/4238029494,51.517315,-0.0613634,The Griff Inn Bar & Kitchen,,,Newark Street,London,+44 20 7882 8686,https://www.qmsu.org/griffinn/,200,,,Mo-Tu 08:30-21:00, We 08:30-01:00, Th-Fr 08:30-21:00,,,,
,E1,E,way,276100290,way/276100290,51.5201803,-0.0763452,The Grocer,,4,Crispin Place,London,+44 20 3437 0005,https://www.youngs.co.uk/food-drink,200,,,09:00-23:00,,,,,,
,E1,E,node,6119354792,node/6119354792,51.5189211,-0.0761157,The Gun,,54,Brushfield Street,London,442078469594,https://www.urbanpubsandbars.com/city-by-urban/venues/the-gun-london,200,,,Mo-Sa 12:00-23:30, Su 12:00-22:00,,,,,
,E1,E,way,448779543,way/448779543,51.5223694,-0.0453454,The Half Moon,Wetherspoon,213-223,Mile End Road,London,,https://www.jdwetherspoon.com/pubs/the-half-moon-mile-end,200,,Q88916474,,,,,,,
,E1,E,way,303225529,way/303225529,51.5227636,-0.0468748,The Horn of Plenty,,36,Globe Road,London,,https://www.thehornofplentypub.co.uk/,,,,,,,,,,
,E1,E,way,205408905,way/205408905,51.522141,-0.0783797,The Light Bar,,233,Shoreditch High Street,London,,https://www.lightbarlondon.com/,,,,,,,,,,
,E1,E,node,296620391,node/296620391,51.5128687,-0.0701002,The Oliver Conquest,,70,Leman Street,London,,https://www.conquestpubs.co.uk/,,,,,,,,,,
,E1,E,way,373272377,way/373272377,51.5242882,-0.0754743,The Owl & the Pussycat,Young's,34,Redchurch Street,London,+44 20 3487 0088,https://www.owlandpussycatshoreditch.com,200,,Q26318188,"Mo,Su 11:00-23:00; Tu-Sa 11:00-24:00",,,,,,
,E1,E,way,395695853,way/395695853,51.516045,-0.0467376,The Peacock,,145,Aylward Street,London,,https://thepeacocke1.com/home,,,,"Mo-Fr 15:00-23:00; Sa,Su 11:00-23:00",,,,,,
,E1,E,node,5238249940,node/5238249940,51.5136121,-0.0698082,The Running Horse,,7,Piazza Walk,London,+44 20 3883 8286,https://therunninghorsealdgate.co.uk/,200,,,Mo-Th 11:00-23:00, Fr 11:00-00:0, Sa 12:00-00:00, Su 12:00-21:30,,,
,E1,E,node,371601279,node/371601279,51.5268568,-0.0781882,the Shoreditch Arms,,127,Shoreditch High Street,London,,https://www.urbanpubsandbars.com/venues/the-shoreditch-arms,,,,"Mo,Tu 16:00-23:00, We,Th 12:00-24:00, Fr,Sa 12:00-01:00, Su 12:00-23:00",,,,,,
,E1,E,way,163644465,way/163644465,51.5172673,-0.0770201,The Star by Liverpool Street,,94-98,Middlesex Street,London,,https://starbyliverpoolstreet.co.uk/,200,,,,,,,,,
,E1,E,way,157323000,way/157323000,51.5193553,-0.074291,The Ten Bells,,84,Commercial Street,London,,,,,Q2414574,"Mo-We,Su 12:00-24:00; Th-Sa 12:00-01:00",,,,,,
,E1,E,way,142390004,way/142390004,51.5202191,-0.0562172,The White Hart,,1,Mile End Road,London,,https://www.mcmullens.co.uk/local-pub/white-hart-whitechapel/,200,,,,,,,,,
,E1,E,way,264131977,way/264131977,51.5158311,-0.0708003,The White Hart,,89,Whitechapel High Street,London,,https://www.thewhitehartlondon.co.uk/index,200,,,,,,,,,
,E1,E,node,278312956,node/278312956,51.5131287,-0.0566157,Thomas Neale,,39,Watney Market,London,,,,,,,,,,,,
,E1,E,node,7039548576,node/7039548576,51.5136334,-0.0717175,White Swan,,21,Alie Street,London,+44 20 7702 0448,https://www.whiteswanaldgate.co.uk/,200,,Q27085030,Mo-Fr 11:00-23:00,,,,,,
,E1,E,supabase,,4d453b5f-3c99-4cc2-a627-b738a33518d3,51.5139,-0.071,Whites Gentlemans Club,Independent,,,,(020) 7488 4000,,,,,,,,,,,
,E1,E,way,314760744,way/314760744,51.5183676,-0.0784631,Williams Ale & Cider House,,22-24,Artillery Lane,London,,https://www.williamsspitalfields.com/,200,,,Mo-Sa 11:00-23:00, Su 11:00-22:00,,,,,
,E1,E,supabase,,bdf58937-ad8f-4427-bed5-659edaa38a11,51.5106,-0.0669,Wilton's Music Hall Mahogany Bar,,,,,(020) 7702 2789,,,,,,,,,,,
,E10,E,node,13717302373,node/13717302373,51.5705831,-0.0099277,Chop Shop Tavern,,141,Tilbury Road,London,,,,,,,,,,,,
,E10,E,supabase,,c72a6c4c-d4c1-42d6-85d2-5e0c38cbe6e2,51.561,-0.0102,Coach & Horses,Independent,,,,(020) 8194 0332,,,,,,,,,,,
,E10,E,way,696129533,way/696129533,51.56156,-0.0105018,Coach and Horses,,391,High Road Leyton,London,,https://thecoachleyton.com/,,,,,,,,,,
,E10,E,node,8355222754,node/8355222754,51.5697138,-0.007739,Gravity Well Taproom,,Arch 155,Midland Road,London,,https://www.gravitywellbrewing.co.uk/,200,,,We-Th 16:00-22:00, Fr 16:00-24:00, Sa 12:00-24:00, Su 12:00-18:00,,,
,E10,E,node,472446463,node/472446463,51.5687971,-0.0287631,Hare and Hounds,,,,,,,,,,,,,,,,
