latlon_postcode,latlon_postcode_district,latlon_postcode_area,osm_type,osm_id,id,lat,lon,name,operator,brand,addr_housenumber,addr_street,addr_city,addr_postcode,addr_full,phone,website,wikidata,opening_hours,postcode_district,postcode_area,opening_hours_a,opening_hours_b,opening_hours_c,opening_hours_d,postcode_district_x,postcode_area_y
,N3,N,node,451152,node/451152,51.6008404,-0.1946078,King of Prussia,Mitchells & Butlers,,363,Regents Park Road,London,,,+44 20 81065270,https://www.thekingfinchley.com,,Mo-Th 12:00-23:00; Fr-Sa 12:00-24:00; Su 12:00-23:00,,,,,,,N3,N
,N3,N,node,451154,node/451154,51.5995788,-0.196028,The Catcher in the Rye,,,319,Regents Park Road,,,,,,,,,,,,,,N3,N
,N12,N,node,451271,node/451271,51.6141038,-0.1765556,The Tally Ho,,,749,High Road,London,,,,https://thetallyhopub.co.uk/,Q24298976,,,,,,,,N12,N
,E18,E,node,12242503,node/12242503,51.5920158,0.0279621,Railway Bell,,Greene King,,,,,,,https://www.greeneking.co.uk/pubs/greater-london/railway-bell,,,,,,,,,E18,E
,,,node,13353276,node/13353276,51.4097991,-0.4440569,The Harrow,,,,,,,,,,Q26280905,,,,,,,,,
,W2,W,node,15262028,node/15262028,51.5164813,-0.1698266,The Monkey Puzzle,Hall & Woodhouse,Hall & Woodhouse,30,Southwick Street,London,,,+44 20 7723 0143,https://themonkeypuzzlepub.co.uk/,,Mo-Sa 12:00-23:30; Su 12:00-22:30,,,,,,,W2,W
,SW15,SW,node,18235090,node/18235090,51.4628591,-0.2266975,The Arab Boy,Greene King,,289,Upper Richmond Road,London,,,,,,,,,,,,,SW15,SW
,SW7,SW,node,20821133,node/20821133,51.5004234,-0.1777428,The Union Bar,,,,,,,,,,,"""by appointment""",,,,,,,SW7,SW
,SW6,SW,node,20973312,node/20973312,51.4691887,-0.2100687,Kings Arms,Wadworth,,425,New King's Road,London,,,,https://www.kingsarms-fulham.co.uk/,,,,,,,,,SW6,SW
,SW6,SW,node,20973316,node/20973316,51.4727261,-0.1811598,The Waterside,,,,The Boulevard,London,,,,,,,,,,,,,SW6,SW
,WC2A,WC,node,21593232,node/21593232,51.5153316,-0.1117428,The Last Judgement,,,95,Chancery Lane,London,,,,,Q88965904,,,,,,,,WC2A,WC
,WC2A,WC,node,21593236,node/21593236,51.5172518,-0.1191791,Ship Tavern,,,12,Gate Street,London,,,+44 20 7405 1992,,Q7497944,,,,,,,,WC2A,WC
,EC4A,EC,node,21686579,node/21686579,51.5154029,-0.1043348,White Haus,Stonegate,,17,Farringdon Street,London,,,,https://www.thewhitehaus.co.uk/,,,,,,,,,EC4A,EC
,,,node,21980919,node/21980919,51.3886519,-0.4228087,The Manor Inn,,,,,,,,,,,,,,,,,,,
,WC2B,WC,node,25471087,node/25471087,51.5128467,-0.1212167,Marquess of Anglesey,Young's,Young's,39,Bow Street,London,,,,https://www.themarquess.co.uk/,,,,,,,,,WC2B,WC
,EC3N,EC,node,25473538,node/25473538,51.509731,-0.0785318,The Liberty Bounds,JD Weatherspoon,Wetherspoon,15,Trinity Square,London,,,,https://www.jdwetherspoon.com/pubs/all-pubs/england/london/the-liberty-bounds-tower-of-london,Q88965892,,,,,,,,EC3N,EC
,EC3N,EC,node,25475187,node/25475187,51.5114165,-0.0776978,The Cheshire Cheese,,,48,Crutched Friars,London,,,+44 207 702 1628,https://www.greatukpubs.co.uk/cheshire-cheese-tower-hill,,Mo-Fr 11:00-23:00; Sa 12:00-22:00; Su 12:00-20:00,,,,,,,EC3N,EC
,WC1N,WC,node,25475914,node/25475914,51.5210917,-0.1228519,The Swan,,Greene King,,,,,,,https://www.greeneking.co.uk/pubs/greater-london/swan,,,,,,,,,WC1N,WC
,EC4A,EC,node,25496840,node/25496840,51.5167141,-0.1103638,26 Furnival Street,,,26,Furnival Street,London,,,+44 20 3301 7555,https://www.26furnivalstreet.com/,,,,,,,,,EC4A,EC
,SE1,SE,node,25510381,node/25510381,51.4994616,-0.1139642,Crown & Cushion,,,133-135,Westminster Bridge Road,London,,,+44 20 7803 0573,https://www.thecrownandcushion-london.foodanddrinksites.co.uk/,,Mo-Sa 11:00-23:00; Su 11:00-22:30,,,,,,,SE1,SE
