id,name,operator,calc_postcode_district,calc_postcode_area,lat,lon,addr_housenumber,addr_street,addr_city,serper_query,confidence,suggested_website,suggested_website_original,validation_status,alternates_json,notes
node/7039559892,Black Horse,,E1,E,51.5137054,-0.0707311,40,Leman Street,London,"""Black Horse"" pub London 40 Leman Street E1",0.000,https://blackhorselondon.co.uk/,https://blackhorselondon.co.uk/,200,"[""https://the-black-horse-44.wheree.com/"", ""https://www.useyourlocal.com/pubs/black-horse-london-e1-99369/"", ""https://www.pubology.co.uk/pubs/2170.html"", ""https://pubwiki.co.uk/LondonPubs///Whitechapel/BlackHorseLeman.shtml"", ""https://capitalarrows.com/pub/black-horse/""]",heuristic:https://blackhorselondon.co.uk/;ai_confirmed_loc_fail=no_location_match
node/371583850,Bohemia Bar,,E1,E,51.5227715,-0.0780898,1,Great Eastern Street,London,"""Bohemia Bar"" pub London 1 Great Eastern Street E1",0.900,https://mapstr.com/place/ndkYCfNqUcg/lounge-bohemia-london-bar-cocktail-drink-cocktails-drinks,https://mapstr.com/place/ndkYCfNqUcg/lounge-bohemia-london-bar-cocktail-drink-cocktails-drinks,200,"[""https://www.luxuryrestaurantguide.com/blog/uk-restaurant-re-openings-the-most-comprehesive-list-of-whos-open-who-will-soon-and-who-never-will/"", ""https://archive.org/stream/bub_gb_QjwDAAAAQAAJ/bub_gb_QjwDAAAAQAAJ_djvu.txt"", ""https://gallery.je/wp-content/uploads/2023/08/gj148_s.pdf"", ""https://lux.je/wp-content/uploads/2020/05/Lux-Issue-4.pdf""]","openai:The URL clearly references Lounge Bohemia at 1 Great Eastern Street, London, matching the pub's address and name closely with strong geographic evidence.;loc_ok=near_coords"
node/622515303,Corbet Place,,E1,E,51.520691,-0.07375,15,Hanbury Street,London,"""Corbet Place"" pub London 15 Hanbury Street E1",0.000,https://www.abouttimemagazine.co.uk/london/top-4-amazing-things-to-do-in-london-this-week/,https://www.abouttimemagazine.co.uk/london/top-4-amazing-things-to-do-in-london-this-week/,200,"[""https://www.pubology.co.uk/indexes/e1.html"", ""https://democracy.towerhamlets.gov.uk/documents/s29880/Corbet%20Place%20Addendum%20-%2015%2008%2012.pdf"", ""https://www.mapquest.com/gb/england/jujus-bar-and-stage-775561532"", ""https://www.flickr.com/photos/55935853@N00/48463768117"", ""https://www.yumpu.com/en/document/view/52567693/application-for-a-premises-licence-for-corbet-place-bar-and-cafac-""]","heuristic:https://www.abouttimemagazine.co.uk/london/top-4-amazing-things-to-do-in-london-this-week/;ai_review=URL is a general London events article, not an official site for Corbet Place pub"
way/260681370,Dog & Truck,Stonegate,E1,E,51.5127038,-0.0669009,72,Back Church Lane,London,"""Dog & Truck"" pub London 72 Back Church Lane E1",0.000,https://licklist.co.uk/the-dog-truck,https://licklist.co.uk/the-dog-truck,200,"[""https://www.arrangingafuneral.co.uk/dog-and-truck-33682/"", ""https://www.mapquest.com/gb/england/dog-truck-798117293"", ""https://pubwiki.co.uk/LondonPubs///StGeorgeEast/DogTruck.shtml"", ""https://www.mapquest.com/gb/england/the-dog-775322588""]","heuristic:https://licklist.co.uk/the-dog-truck;ai_review=Candidate URL is a third-party listing site, not the official venue or operator page for The Dog & Truck pub."
way/157322999,Goose Island Brew Pub,,E1,E,51.5227656,-0.078188,222,Shoreditch High Street,London,"""Goose Island Brew Pub"" pub London 222 Shoreditch High Street E1",0.000,https://londonist.com/,https://londonist.com/london/sport/where-to-watch-the-rugby-world-cup-in-london,200,"[""https://www.hackneymagazine.com/amp/sport-pubs-in-hackney/"", ""https://londonist.com/london/sport/where-to-watch-the-rugby-world-cup-in-london"", ""https://www.getthedata.com/postcode/EC2A-3BH"", ""https://protzonbeer.co.uk/features/2019/11/06/obadiah-poundage-a-true-taste-of-porter"", ""https://www.skintlondon.com/win-free-goose-island-beers-a-trip-to-chicago/""]","heuristic:https://londonist.com/;ai_review=Candidate URL is a general London events and culture site, not an official site for Goose Island Brew Pub at 222 Shoreditch High Street."
way/107796329,Grapeshots,,E1,E,51.5180737,-0.0775591,2-3,Artillery Passage,London,"""Grapeshots"" pub London 2-3 Artillery Passage E1",0.900,https://petticoatlane.london/vendor/grapeshots/,https://petticoatlane.london/vendor/grapeshots/,200,"[""https://www.squaremeal.co.uk/restaurants/grapeshots_12227"", ""https://www.mapquest.com/gb/england/grapeshots-523124227"", ""https://www.aaa.com/tripcanvas/restaurant/grapeshots-AA8131"", ""https://www.davy.co.uk/private-dining/grapeshots/"", ""https://www.davy.co.uk/wine-bar/grapeshots/""]","openai:URL clearly mentions Grapeshots at 2-3 Artillery Lane, London E1 7LJ matching the pub's address and name, indicating a relevant vendor page likely representing the pub.;loc_ok=district+address"
way/369188797,Hungerford Arms,,E1,E,51.5144103,-0.0579821,240,Commercial Road,London,"""Hungerford Arms"" pub London 240 Commercial Road E1",0.900,https://pubology.co.uk/pubs/2414.html,https://pubology.co.uk/pubs/2414.html,200,"[""https://the-hungerford-arms.wheree.com/"", ""https://www.londonpicturearchive.org.uk/view-item?i=122957"", ""https://www.pubsgalore.co.uk/pubs/54489/"", ""https://www.layersoflondon.org/map/records/hungerford-arms-240-commercial-road-e1"", ""https://pubwiki.co.uk/LondonPubs//StGeorgeEast/HungerfordArms.shtml""]","openai:The URL clearly references Hungerford Arms at 240 Commercial Road with matching address and district E1, and has strong page evidence and geo bonus scores. It appears to be a dedicated pub information site rather than an aggregator or social network.;loc_ok=near_coords"
way/163644475,Kings Stores,,E1,E,51.5179988,-0.0778223,14,Widegate Street,London,"""Kings Stores"" pub London 14 Widegate Street E1",0.950,https://www.kingsstores.co.uk/,https://www.kingsstores.co.uk/,200,"[""https://kings-stores.weeblyte.com/"", ""https://www.kingsstores.co.uk/menus"", ""https://www.citypubs.co.uk/pubs/kingsstores.html"", ""https://directory.essexlive.news/company/96cb53a34da81468dac0c4a10f8f0718"", ""https://www.squaremeal.co.uk/restaurants/kings-stores_8085""]","openai:The URL https://www.kingsstores.co.uk/ matches the pub name and address (14 Widegate Street, London E1 7HP) exactly, with strong page evidence and geo bonus. It appears to be the official website rather than an aggregator or unrelated site.;loc_ok=near_coords"
0d5652fd-a487-4213-991e-50f5fb86c290,Knave of Clubs,Independent,E1,E,51.524,-0.074194,,,,"""Knave of Clubs"" pub London E1",0.950,https://www.theknaveofclubs.co.uk/,https://www.theknaveofclubs.co.uk/,200,"[""https://www.theknaveofclubs.co.uk/about/"", ""https://thenudge.com/the-knave-of-clubs/"", ""https://www.squaremeal.co.uk/restaurants/the-knave-of-clubs_26632"", ""https://www.theknaveofclubs.co.uk/history/"", ""https://www.top50gastropubs.com/Pubs/UK/Greater-London/The-Knave-of-Clubs.html""]","openai:The URL is the official website of the Knave of Clubs pub, explicitly mentioning the exact address (25 Bethnal Green Road, London E1 6HT) matching the E1 district and close coordinates. It is clearly the pub's own site, not an aggregator or social network.;loc_ok=near_coords"
54986812-cc27-4db2-ab19-06ca9a65172f,Leman Street Tavern,Independent,E1,E,51.5137,-0.070338,,,,"""Leman Street Tavern"" pub London E1",0.000,https://www.lemanstreettavern.co.uk/,https://www.lemanstreettavern.co.uk/,200,"[""https://www.lemanstreettavern.co.uk/food-drink/"", ""https://www.lemanstreettavern.co.uk/whats-on/"", ""https://www.squaremeal.co.uk/restaurants/leman-street-tavern_10902"", ""https://londontheinside.com/review-leman-street-tavern/"", ""https://www.goodmansfields.com/discover-goodmans-fields/leman-street-tavern/""]",heuristic:https://www.lemanstreettavern.co.uk/;ai_confirmed_loc_fail=district_only_no_geo
