id,name,operator,calc_postcode_district,calc_postcode_area,lat,lon,addr_housenumber,addr_street,addr_city,serper_query,confidence,suggested_website,suggested_website_original,validation_status,alternates_json,notes
way/123318572,The Nags Head,,WC2E,WC,51.5129662,-0.1236536,10,James Street,London,"""The Nags Head"" pub London 10 James Street WC2E",0.000,https://www.mnrealestate.com/,https://www.mnrealestate.com/review-of-the-nags-head-in-london/,200,"[""https://www.mnrealestate.com/review-of-the-nags-head-in-london/"", ""https://www.standard.co.uk/going-out/bars/the-nags-head-feels-like-a-real-pub-7415870.html"", ""https://www.tagvenue.com/venues/london/3917/nags-head-covent-garden"", ""https://www.beerintheevening.com/pubs/s/37/379/Nags_Head/Covent_Garden"", ""https://www.minube.net/place/the-nags-head--a75811""]",heuristic:https://www.mnrealestate.com/review-of-the-nags-head-in-london/
way/80208385,The Sun Tavern,,WC2E,WC,51.5139873,-0.1226274,66,Long Acre,London,"""The Sun Tavern"" pub London 66 Long Acre WC2E",0.000,https://www.thesuntaverncoventgarden.co.uk/,https://www.thesuntaverncoventgarden.co.uk/,200,"[""https://maps.apple.com/place?place-id=I9E965EAC417C9AFF"", ""https://www.mapquest.com/gb/england/the-sun-tavern-526171262"", ""https://www.layersoflondon.org/map/records/sun-66-long-acre-wc2e"", ""https://www.coventgarden.london/brand-directory/the-sun-tavern"", ""https://www.beerintheevening.com/pubs/s/26/2611/Sun_Tavern/Covent_Garden""]",heuristic:https://www.thesuntaverncoventgarden.co.uk/
node/344084670,Craft Beer Co.,,WC2H,WC,51.515637,-0.125979,168,High Holborn,London,"""Craft Beer Co."" pub London 168 High Holborn WC2H",0.000,https://londonist.com/,https://londonist.com/london/drink/the-best-10-pubs-in-covent-garden,200,"[""https://the-craft-beer-co-covent-garden.wheree.com/"", ""https://the-craft-beer-co-covent-garden.wheree.com/menu"", ""https://londonist.com/london/drink/the-best-10-pubs-in-covent-garden"", ""https://www.youarenotatree.net/this-is-england/just-for-one-my-favorite-pubs-in-london/"", ""https://www.beerintheevening.com/pubs/results.shtml/tu/140/page/2/show_comments/5/""]",heuristic:https://londonist.com/
way/153690421,The Angel,Sam Smith's,WC2H,WC,51.5154902,-0.1278407,,,,"""The Angel"" pub London WC2H",0.000,https://maps.apple.com/,https://maps.apple.com/place?place-id=I652B0F371F72A22E,200,"[""https://maps.apple.com/place?place-id=I652B0F371F72A22E"", ""https://www.squaremeal.co.uk/restaurants/the-angel-st-giles-high-street_3277"", ""https://www.mapquest.com/gb/england/the-angel-527296503"", ""https://pubwiki.co.uk/LondonPubs/StGiles/Angel.shtml"", ""https://londonist.com/pubs/pubs/pubs/the-angel-2""]",heuristic:https://maps.apple.com/place?place-id=I652B0F371F72A22E
way/81459093,The Bloomsbury,,WC2H,WC,51.5168451,-0.1257535,,Shaftesbury Avenue,London,"""The Bloomsbury"" pub London Shaftesbury Avenue WC2H",0.950,https://www.bloomsburytavern.co.uk/,https://www.bloomsburytavern.co.uk/,200,"[""https://www.mapquest.com/gb/england/the-bloomsbury-tavern-806283963"", ""https://commons.wikimedia.org/wiki/Category:The_Bloomsbury_Tavern,_Shaftesbury_Avenue"", ""https://www.alamy.com/the-bloomsbury-tavern-from-1856-236-shaftesbury-ave-london-england-uk-wc2h-8eg-image566184404.html"", ""https://www.bloomsburytavern.co.uk/contact-us"", ""https://nightscard.com/nightlife/bloomsbury-tavern/""]","openai:The URL bloomsburytavern.co.uk matches the pub name exactly and the page snippet mentions the correct address area (Holborn, near Shaftesbury Avenue) and historic details consistent with the pub. Other candidates are map or media sites or less authoritative. No exact postcode given but this is the best match.;loc_ok=district+address"
node/12920922066,The Cross Keys,,WC2H,WC,51.5145144,-0.1247394,31,Endell Street,London,"""The Cross Keys"" pub London 31 Endell Street WC2H",0.800,https://www.coventgarden.london/,https://www.coventgarden.london/brand-directory/the-cross-keys,200,"[""https://maps.apple.com/place?place-id=IE47E12FEE7F4F49D"", ""https://www.mapquest.com/gb/england/the-cross-keys-523538256"", ""https://londonist.com/london/pubs/cross-keys-covent-garden"", ""https://www.coventgarden.london/brand-directory/the-cross-keys"", ""https://londonspubswherehistoryreallyhappened.wordpress.com/2018/11/08/the-cross-keys/""]","openai:The URL is a brand directory page specifically for The Cross Keys in Covent Garden, matches the address area, and is not an aggregator or social network.;loc_ok=address_tokens"
way/183366008,The Crown,,WC2H,WC,51.5168409,-0.1263989,51,New Oxford Street,London,"""The Crown"" pub London 51 New Oxford Street WC2H",0.000,https://www.top50gastropubs.com/,https://www.top50gastropubs.com/find-a-gastropub,200,"[""https://www.top50gastropubs.com/find-a-gastropub"", ""https://www.beerintheevening.com/pubs/results.shtml/tu/31/page/19/"", ""https://www.alamy.com/stock-photo/the-crown-pub-london.html?page=2""]",heuristic:https://www.top50gastropubs.com/find-a-gastropub
node/266680230,The Crown and Anchor,,WC2H,WC,51.5139755,-0.1249853,22,Neal Street,London,"""The Crown and Anchor"" pub London 22 Neal Street WC2H",0.000,https://barcrawl.co.uk/,https://barcrawl.co.uk/pubreview.aspx?PubID=8292,200,"[""https://barcrawl.co.uk/pubreview.aspx?PubID=8292"", ""https://pubwiki.co.uk/LondonPubs/StGiles/CrownAnchor.shtml"", ""https://www.beerintheevening.com/pubs/s/11/11646/Crown_and_Anchor/Covent_Garden"", ""https://www.tagvenue.com/venues/london/34691/crown-and-anchor""]",heuristic:https://barcrawl.co.uk/pubreview.aspx?PubID=8292
way/560417509,The Sun,,WC2H,WC,51.5152293,-0.1232343,21,Drury Lane,London,"""The Sun"" pub London 21 Drury Lane WC2H",0.000,https://www.mapquest.com/,https://www.mapquest.com/gb/england/the-sun-pub-526936182,202,"[""https://the-sun-pub.wheree.com/"", ""https://the-sun-pub.weeblyte.com/menu"", ""https://www.mapquest.com/gb/england/the-sun-pub-526936182"", ""https://www.mapquest.com/gb/england/sun-public-house-798038999"", ""https://www.beerintheevening.com/pubs/results.shtml/tu/68/page/2/show_comments/5/""]",heuristic:https://www.mapquest.com/gb/england/the-sun-pub-526936182
way/993781413,The Three Lanterns,,WC2H,WC,51.5113088,-0.1314508,5,Lisle Street,London,"""The Three Lanterns"" pub London 5 Lisle Street WC2H",0.950,https://www.socialpubandkitchen.co.uk/,https://www.socialpubandkitchen.co.uk/three-lanterns-leicester-square,200,"[""https://the-three-lanterns.wheree.com/"", ""https://www.socialpubandkitchen.co.uk/three-lanterns-leicester-square"", ""https://www.socialpubandkitchen.co.uk/three-lanterns-leicester-square/live-sport-pub"", ""https://www.squaremeal.co.uk/restaurants/the-three-lanterns-leicester-square_29473"", ""https://maps.apple.com/place?place-id=IB02AD394B1F8021""]","openai:This URL explicitly matches the pub name and exact address 5 Lisle Street, Westminster, Greater London, WC2H 7BG, confirming it is the correct venue's official or operator website.;loc_ok=address_tokens"
