shared_website,pub_count,id,name,operator
https://www.thelordstanley.com,2,way/1120585512,The Lord Stanley,
https://www.thelordstanley.com,2,way/1240322213,Lord Stanley,
https://motherkellys.co.uk,2,node/6488078275,Mother Kelly's E20,
https://motherkellys.co.uk,2,node/2831429756,Mother Kelly's,
https://village-walthamstow.com,2,way/198639606,The Village Public House,Matt March
https://village-walthamstow.com,2,181555b6-dff2-4d1c-aa21-e249f70e5280,Village,Urban Pubs & Bars
https://www.thecrownhackney.co.uk,2,way/372808122,The Crown,
https://www.thecrownhackney.co.uk,2,way/593373600,The Half Crown,
https://www.goldenfleececity.com,2,way/522314555,The Golden Fleece,
https://www.goldenfleececity.com,2,node/459805640,Golden Fleece,
https://www.princearthur.co.uk,2,way/1308852871,The Prince Arthur,
https://www.princearthur.co.uk,2,node/249786782,Prince Arthur,
https://www.anchorandhopepub.co.uk,2,node/9762808911,The Anchor & Hope,
https://www.anchorandhopepub.co.uk,2,node/3068306969,The Anchor,
https://georgedragon.co.uk,2,node/224146236,The George & Dragon,
https://georgedragon.co.uk,2,node/2252633852,George & Dragon,
https://batterseabrew.co.uk,2,node/6795775062,Battersea Brewery,
https://batterseabrew.co.uk,2,node/6345003065,Battersea Brewery,
https://www.saltbeerfactory.co.uk,2,node/3932136290,SALT Woolwich,SALT
https://www.saltbeerfactory.co.uk,2,node/5843761645,Salt Deptford,SALT
https://www.badgerbadger.org,2,node/3637918315,Badger Badger,
https://www.badgerbadger.org,2,node/9657161178,Badger Badger,
https://thechalkfreehouse.co.uk,2,1cd6360d-8f7b-4d9d-8acb-4aa1b706e490,Chalk,Independent
https://thechalkfreehouse.co.uk,2,way/781302184,The Chalk Freehouse,
https://www.thedodomicropub.com,2,node/3261904462,Dodo,
https://www.thedodomicropub.com,2,fb1e8d73-8835-4d5a-af17-5b369f82bcd4,Dodo Micropub,Independent
