id,name,website,bad_domain,operator
node/356973074,The Abbey Arms,https://the-abbey-arms.edan.io/,edan.io,
way/191304258,Callaghanns,https://callaghanns.business.site,business.site,
way/200217289,St James Bar,https://goergios-bar-grill.edan.io/,edan.io,
node/2437697969,Doyle's,https://www.lemonrock.com/doylesoakwood,lemonrock.com,
53fb20f2-43ac-435f-8b32-4b373a4e794c,Maddens,https://www.lemonrock.com/maddensbareastfinchley,lemonrock.com,Independent
node/4464548883,Little Green Dragon,https://littlegreendragonenfield.wordpress.com/,wordpress.com,
node/25717653,The Old Ale Emporium,https://the-old-ale-emporium.edan.io/,edan.io,
node/9805131739,The Twelve Pins,https://the-twelve-pins.weeblyte.com,weeblyte.com,
node/676853367,The North Star,https://the-north-star.weeblyte.com/,weeblyte.com,
way/121897859,The Kilburn Arms,https://www.facebook.com/kilburnarms,facebook.com,
node/12532959125,Marquis of Granby,https://marquis-of-granby.edan.io/,edan.io,
node/10880980667,The Lord Herbert,https://www.lemonrock.com/lordherbertplumstead,lemonrock.com,
way/232838695,The Old Mill,https://www.lemonrock.com/oldmillplumsteadcommon,lemonrock.com,
node/659512226,The Pavillion,https://info6435372.wixsite.com/pavilionpub-1,wixsite.com,
way/372116667,The Dog & Bell,https://www.facebook.com/TheDogandBell/,facebook.com,
way/592186849,Jolly Gardeners,https://www.lemonrock.com/jollygardenersmortlake,lemonrock.com,Ram Pub Company
node/8736085499,Ramble Inn,https://ramble-inn.weeblyte.com,weeblyte.com,
way/574202702,The Corner Pin,https://www.facebook.com/thecornerpinsw17/,facebook.com,
way/144713460,The Rylston,https://therylston.weebly.com/,weebly.com,
node/261348576,The Cavendish Arms,https://www.facebook.com/thecavendisharms/,facebook.com,
node/132960560,The Phoenix,https://www.facebook.com/PhoenixPubClapham/,facebook.com,
node/7179078030,The Leather Saddle,https://www.lemonrock.com/leathersaddlewestealing,lemonrock.com,
node/2928247913,Prince of Wales,https://www.lemonrock.com/princeofwaleshanwell,lemonrock.com,
way/361312259,Angie's Free House,https://www.lemonrock.com/angiesfreehousemaidahill,lemonrock.com,
node/833772427,The Dolphin,https://www.bloomsburylondon.com/tenants/the-dolphin-pub,bloomsburylondon.com,
way/800089340,Lord John Russell,https://www.bloomsburylondon.com/tenants/lord-john-russell,bloomsburylondon.com,
way/155731385,The Blue Lion,https://www.bloomsburylondon.com/tenants/the-blue-lion,bloomsburylondon.com,
way/560417509,The Sun,https://elifrombrazil.wixsite.com/thesunpub,wixsite.com,
