id,name,lat,lon,address,phone,email,features,photoUrl,description,area
1,Abbey Arms,51.4907,0.121081,"31 Wilton Road

Abbey Wood

SE2 9RH",(020) 8310 1763,info@AbbeyArmsSE2.co.uk,[],https://placekitten.com/401/301,"A traditional public house next to Abbey Wood railway station. Refurbished and redecorated in 2015, again in 2019 when it was taken over by Dirty Liquor and again in 2023 following the exit of Dirty Liquor. There is an upstairs function room along with a large garden to the rear.

Well located for extensive national rail, Elizabeth line and bus transport opportunities.",Abbey Wood
2,Birchwood,51.4978,0.11502,"Grovebury Road

Abbey Wood

SE2 9BB",(020) 8312 4867,,[],https://placekitten.com/402/302,"A 1960s pub situated within a contemporary housing estate. The interior has been redecorated in 2015 with a function room to the rear which is also used as a dinning room for Sunday lunch. Outside there is a paved area with seating and a covered smoking area. Live music on is on Friday and Sunday evenings, a quiz night on Thursdays, chess on Mondays and cribbage on Tuesdays.",Abbey Wood
3,George & Dragon,51.5073,-0.27185,"183 High Street

Acton

W3 9DJ",(020) 8992 3712,George&Dragon@RemarkablePubs.co.uk,[],https://placekitten.com/403/303,"At the heart of the historic Acton Town Centre, this welcoming venue has three bars of real character; an atmospheric front bar (now used for seating and live music) leads through to a heritage bar with exposed original features probably from the 17th

Century, and a cavernous and stylish back room which serves as the bar and the currently unused brewery. The bar features a list of landlords dating back to 1759. The back of the bar is dominated with an impressive array of vast copper and chrome brewing vessels, whilst the large square bar in the centre of the room is adorned by two art nouveau statues. The north wall is covered by a Rousseau style leafy mural.",Acton
4,Red Lion & Pineapple,51.5082,-0.27649,"281 High Street

Acton

W3 9BP",(020) 8896 2248,P59@jdwetherspoon.co.uk,[],https://placekitten.com/404/304,"A Wetherspoon pub at the top of Acton Hill, formerly owned by Fuller’s. Two pubs here were combined in 1906, hence the unique name. The larger room is home to the circular bar, surrounded by red and black tiles. The windows are large, with etched and stained tops, and the walls are decorated with historical photographs of Acton. The smaller room is mainly used by diners, families.and larger groups. A November 2024 refurbishment saw an additional three handpumps fitted allowing some of the popular beers to be on permanently. Alcohol is served from 9am. Note entry and exit is no longer allowed via the smaller room.",Acton
5,Rocket,51.5087,-0.26396,"11 Churchfield Road

Acton

W3 6BD",(020) 8993 6123,rocket.acton@btconnect.com,[],https://placekitten.com/400/300,"Divided into two parts, the dining area has beige walls and seating plus a pinewood floor whilst the bar area is much darker with much redness and colourfully furnished. The upstairs function room is used by local groups for film clubs, a book club, life drawing classes as well as comedy nights and other live gigs. Brunch served 10-1. Real ale is often not available.",Acton
6,Shepherds Bush Cricket Club,51.51,-0.25261,"38 Bromyard Avenue

Acton

W3 7BP",07734 709458,webmaster.sbcc@gmail.com,[],https://placekitten.com/401/301,"Established in 1882 the club is one of the oldest cricket clubs in London and a founder member of the Middlesex County Cricket League in 1972.

The pump clips were turned round recently so the beer may only be keg when cricket is not being played.",Acton
7,Station House,51.5087,-0.26313,"Station Buildings, Churchfield Road

Acton

W3 6BH",(020) 8992 7110,info@thestationhousew3.com,[],https://placekitten.com/402/302,"Originally the station booking hall, the upstairs is known as the Red Room and houses the open kitchen and bar and is available between 7pm and 11pm (Noon-9pm on Sundays). It can also be hired for private functions and has a large vaulted roof and arched windows. The pub specialises in Southern Italian tapas & artisan pizzas, although a big burger range is also available. The kitchen is open late till 10.30pm (10pm on Sundays). The outside terrace can become busy, especially when the bar is playing amplified music. The building is locally listed.",Acton
8,West London Trades Union Club,51.5065,-0.26567,"33-35 High Street

Acton

W3 6ND",(020) 8992 4557,,[],https://placekitten.com/403/303,"This small and friendly Club – run as a co-operative – combines excellent real ale with a busy cultural and social life. Two real ales are served from a variety of small independent breweries - and particularly from the Portobello brewery range. The Acton Community Theatre is upstairs, and regular film shows are also held. The Club is usually closed on Saturdays, but opens on some for special events - see website for dates and details. The local CAMRA branch is an associate member – show a CAMRA membership card or a copy of the Good Beer Guide to gain access. The Club celebrated its 40th anniversary in 2023, and the building has been part of the co-operative movement for over a century.",Acton
9,Bollo,51.4957,-0.270079,"13 Bollo Lane

Acton Green

W4 5LR",(020) 8994 6037,info@thebollohouse.com,[],https://placekitten.com/404/304,"Corner pub hidden away behind Chiswick Park station. Built in 1885 as the Railway Tavern, it was renamed the Bollo House in 2000. Spacious, and now best described as a community-centred gastropub with a good ambience. Four ale handpumps.  All-day Sunday roasts. Watch pub website for offers.",Acton Green
10,Duke of Sussex,51.4964,-0.2641,"75 South Parade

Acton Green

W4 5LF",(020) 8742 8801,info@thedukeofsussex.co.uk,[],https://placekitten.com/400/300,"The Duke of Sussex is named after one of Queen Victoria's uncles rather than Meghan's husband. It dates from the 1840s and was originally owned by a Suffolk Brewer. By the 1890s it was owned by the Cannon Brewery of Clerkenwell and later by the Lion Brewery, For much of the 20th century it was a Taylor Walker house.

Rebuilt in 1898 with a mock Tudor frontage, it has a central island counter with exposed floorboards, alcove seating and etched glass screens. Up to five (but usually three) rotating guest ales are available. mostly from London and the Home Counties. The rear room, the decorative ceiling of which is listed, is dedicated to diners and leads through to a large and welcoming garden with hidden corners.  It is both a local and a gastro-pub. There is generally a pub quiz here on Sunday evenings. Next to the terminus of the 94 bus.",Acton Green
